GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.jbk.api,com.jbk.api,Application,8,0,0,0,3,0,2,0,2,0
com.jbk.api,com.jbk.api.service,CalculateValues,0,41,0,8,0,9,0,9,0,5
